ID,Title,Gross,Budget,Date,Genre,Director,RTRating,IMDBRating,IMDBVotes
42,The Abyss,54243125.0,70000000.0,1989,Action,James Cameron,8.8,7.6,51018.0
43,Action Jackson,20257000.0,7000000.0,1988,Action,,1.0,4.6,3856.0
44,Ace Ventura: Pet Detective,107217396.0,12000000.0,1994,Comedy,Tom Shadyac,4.9,6.6,63543.0
45,Ace Ventura: When Nature Calls,212400000.0,30000000.0,1995,Comedy,Steve Oedekerk,,5.6,51275.0
46,April Fool's Day,12947763.0,5000000.0,1986,Horror,,3.1,,
47,Among Giants,64359.0,4000000.0,1999,Romantic Comedy,,,5.7,546.0
48,Annie Get Your Gun,8000000.0,3768785.0,1950,Musical,,10.0,7.1,1326.0
49,Alice in Wonderland,0.0,3000000.0,1951,Musical,,2.0,6.7,63458.0
50,The Princess and the Cobbler,669276.0,24000000.0,1995,Adventure,,,7.3,893.0
51,The Alamo,7900000.0,12000000.0,1960,Western,John Wayne,5.4,5.9,10063.0
52,Alexander's Ragtime Band,4000000.0,2000000.0,1938,Drama,,,,
53,Alive,36299670.0,32000000.0,1993,Adventure,Frank Marshall,7.1,3.2,124.0
54,Amen,274299.0,14000000.0,2003,Drama,Costa-Gavras,,7.4,5416.0
55,American Graffiti,140000000.0,777000.0,1973,Comedy,George Lucas,9.7,7.6,30952.0
56,American Ninja 2: The Confrontation,4000000.0,350000.0,1987,Action,Sam Firstenberg,,3.7,2495.0
57,The American President,107822813.0,62000000.0,1995,Romantic Comedy,Rob Reiner,9.0,6.8,22780.0
58,Annie Hall,38251425.0,4000000.0,1977,Comedy,Woody Allen,9.8,8.2,65406.0
59,Anatomie,9598.0,2500000.0,2000,Horror,,,6.1,6266.0
60,The Adventures of Huck Finn,24103594.0,6500000.0,1993,Adventure,Stephen Sommers,6.2,5.8,3095.0
61,The Apartment,24600000.0,3000000.0,1960,Romantic Comedy,Billy Wilder,9.1,8.4,36485.0
62,Apocalypse Now,78800000.0,31500000.0,1979,Action,Francis Ford Coppola,9.8,8.6,173141.0
63,Arachnophobia,53208180.0,31000000.0,1990,Thriller/Suspense,Frank Marshall,8.5,6.2,20528.0
64,Arn - Tempelriddaren,14900000.0,16500000.0,2007,Action,,,6.4,6251.0
65,Arnolds Park,23616.0,600000.0,2007,Thriller/Suspense,,,5.1,77.0
66,Sweet Sweetback's Baad Asssss Song,15200000.0,150000.0,1971,,,,5.6,1769.0
67,And Then Came Love,8158.0,989000.0,2007,Comedy,,1.7,4.4,200.0
68,Around the World in 80 Days,42000000.0,6000000.0,1956,Adventure,,7.3,5.6,21516.0
69,Barbarella,0.0,9000000.0,1968,Adventure,,7.4,5.7,10794.0
70,Barry Lyndon,20000000.0,11000000.0,1975,Drama,Stanley Kubrick,9.4,8.1,39909.0
71,"Barbarians, The",800000.0,4000000.0,1987,,,,5.4,236.0
72,Babe,246100000.0,30000000.0,1995,Adventure,Chris Noonan,9.8,7.3,35644.0
73,Boynton Beach Club,3127472.0,2900000.0,2006,Romantic Comedy,,,,
74,Baby's Day Out,16581575.0,50000000.0,1994,Comedy,Patrick Read Johnson,2.1,5.0,8332.0
75,Bound by Honor,4496583.0,35000000.0,1993,,Taylor Hackford,,7.7,10142.0
76,"Bon Cop, Bad Cop",12671300.0,8000000.0,2006,Comedy,,6.7,6.9,151.0
77,Back to the Future,381109762.0,19000000.0,1985,Adventure,Robert Zemeckis,9.6,8.4,201598.0
78,Back to the Future Part II,332000000.0,40000000.0,1989,Adventure,Robert Zemeckis,6.4,7.5,87341.0
79,Back to the Future Part III,243700000.0,40000000.0,1990,Adventure,Robert Zemeckis,7.1,7.1,77541.0
80,Butch Cassidy and the Sundance Kid,102308900.0,6000000.0,1969,Western,George Roy Hill,9.0,8.2,57602.0
81,Bad Boys,141247413.0,23000000.0,1995,Action,Michael Bay,3.9,6.6,53929.0
82,Body Double,8801940.0,10000000.0,1984,Thriller/Suspense,Brian De Palma,8.4,6.4,9738.0
83,"The Beast from 20,000 Fathoms",5000000.0,210000.0,1953,,,9.0,,
84,Beastmaster 2: Through the Portal of Time,773490.0,6000000.0,1991,,,1.7,3.3,1327.0
85,The Beastmaster,10751126.0,5000000.0,1982,Action,,5.0,5.7,5734.0
86,Ben-Hur,9000000.0,3900000.0,1925,Adventure,,,8.2,58510.0
87,Ben-Hur,73000000.0,15000000.0,1959,Adventure,William Wyler,9.1,8.2,58510.0
88,Benji,31559560.0,500000.0,1974,Adventure,,8.3,5.8,1801.0
89,Before Sunrise,5274005.0,2500000.0,1995,Drama,Richard Linklater,10.0,8.0,39705.0
90,Beauty and the Beast,403476931.0,20000000.0,1991,Musical,Gary Trousdale,9.3,3.4,354.0
91,The Best Years of Our Lives,23600000.0,2100000.0,1946,Drama,William Wyler,9.7,8.2,17338.0
92,The Ballad of Gregorio Cortez,909000.0,1305000.0,1983,Western,,,,
93,My Big Fat Independent Movie,4655.0,3000000.0,2005,Comedy,,2.3,3.2,1119.0
94,Battle for the Planet of the Apes,8800000.0,1800000.0,1973,,Jack Lee Thompson,3.8,5.0,6094.0
95,Big Things,0.0,50000.0,2009,,,,,
96,Bogus,4357406.0,32000000.0,1996,Comedy,Norman Jewison,4.0,4.8,2742.0
97,Beverly Hills Cop,316300000.0,15000000.0,1984,Action,Martin Brest,8.3,7.3,45065.0
98,Beverly Hills Cop II,276665036.0,20000000.0,1987,Action,Tony Scott,4.6,6.1,29712.0
99,Beverly Hills Cop III,119180938.0,50000000.0,1994,Action,John Landis,1.0,5.0,21199.0
100,The Black Hole,35841901.0,20000000.0,1979,,,4.2,5.6,7810.0
101,Bathory,3436763.0,15000000.0,2008,,,,6.1,1446.0
102,Big,151668774.0,18000000.0,1988,Comedy,Penny Marshall,9.6,7.2,49256.0
103,The Big Parade,22000000.0,245000.0,1925,Drama,King Vidor,10.0,8.4,2600.0
104,Boyz n the Hood,56190094.0,6500000.0,1991,Drama,John Singleton,9.8,7.8,30299.0
105,"The Book of Mormon Movie, Volume 1: The Journey",1660865.0,2000000.0,2003,Drama,,,,
106,Return to the Blue Lagoon,2000000.0,11000000.0,1991,,,,4.3,4632.0
107,"Bright Lights, Big City",16118077.0,25000000.0,1988,Drama,,6.1,6.8,11929.0
108,The Blue Bird,887000.0,1200000.0,1976,,George Cukor,,4.9,359.0
109,The Blue Butterfly,1610194.0,10400000.0,2004,Drama,,4.4,6.2,817.0
110,Blade Runner,33139618.0,28000000.0,1982,Thriller/Suspense,Ridley Scott,9.2,8.3,185546.0
111,Bloodsport,11806119.0,1500000.0,1988,Action,,,6.2,19816.0
112,The Blues Brothers,57229890.0,27000000.0,1980,Musical,John Landis,8.4,7.9,62941.0
113,Blow Out,13747234.0,18000000.0,1981,Thriller/Suspense,Brian De Palma,8.9,7.1,10239.0
114,De battre mon coeur s'est arrÃtÃˆ,8589831.0,5500000.0,2005,Drama,,,7.3,7295.0
115,The Broadway Melody,4358000.0,379000.0,1929,Musical,,3.8,6.7,2017.0
116,Boom Town,9172000.0,2000000.0,1940,,,,7.1,1115.0
117,Bound,6300000.0,4500000.0,1996,Thriller/Suspense,Andy Wachowski,8.8,7.4,23564.0
118,Bang,527.0,10000.0,1996,Thriller/Suspense,"Jeff ""King Jeff"" Hollins",,6.3,369.0
119,Bill & Ted's Bogus Journey,37537675.0,20000000.0,1991,Comedy,Peter Hewitt,5.8,5.8,20188.0
120,The Birth of a Nation,11000000.0,110000.0,2015,Drama,,10.0,7.1,8901.0
121,The Ballad of Cable Hogue,5000000.0,3716946.0,1970,Western,Sam Peckinpah,9.2,7.3,3125.0
122,The Blood of Heroes,882290.0,7700000.0,1990,Action,,,6.2,2523.0
123,The Blood of My Brother: A Story of Death in Iraq,0.0,120000.0,2006,Documentary,,7.1,7.6,90.0
124,Boomerang,131052444.0,42000000.0,1992,Comedy,,3.7,5.9,202.0
125,The Bridge on the River Kwai,33300000.0,3000000.0,1957,Drama,David Lean,9.5,8.4,58641.0
126,Born on the Fourth of July,70001698.0,14000000.0,1989,Drama,Oliver Stone,8.9,7.2,32108.0
127,Basquiat,2962051.0,3000000.0,1996,Drama,Julian Schnabel,6.9,6.7,7935.0
128,Black Rain,45892212.0,30000000.0,1989,Thriller/Suspense,Ridley Scott,5.7,4.1,137.0
129,Bottle Rocket,407488.0,5000000.0,1996,Adventure,Wes Anderson,7.9,7.2,21980.0
130,Braindead,242623.0,3000000.0,1993,Horror,Peter Jackson,,7.6,32827.0
131,The Bridges of Madison County,175516617.0,22000000.0,1995,Drama,Clint Eastwood,9.0,7.2,21923.0
132,The Brothers McMullen,10426506.0,25000.0,1995,Drama,Edward Burns,9.1,6.4,4365.0
133,Dracula,215862692.0,40000000.0,1992,Horror,Francis Ford Coppola,,6.4,136.0
134,Broken Arrow,148345997.0,65000000.0,1996,Action,John Woo,5.5,5.8,33584.0
135,Brainstorm,8921050.0,15000000.0,1983,Thriller/Suspense,,6.4,6.3,4410.0
136,Braveheart,209000000.0,72000000.0,1995,Drama,Mel Gibson,7.7,8.4,240642.0
137,Les BronzÃˆs 3: amis pour la vie,83833602.0,42000000.0,2006,Comedy,,,4.4,1254.0
138,Brazil,9929135.0,15000000.0,1985,Black Comedy,Terry Gilliam,9.8,8.0,76635.0
139,Blazing Saddles,119500000.0,2600000.0,1974,Comedy,Mel Brooks,8.9,7.8,45771.0
140,The Basket,609042.0,1300000.0,2000,Drama,,,6.3,343.0
141,Bathing Beauty,3500000.0,2361000.0,1944,Musical,,,6.2,487.0
142,Bill & Ted's Excellent Adventure,39916091.0,10000000.0,1989,Comedy,Stephen Herek,8.1,6.7,30341.0
143,A Bridge Too Far,50800000.0,26000000.0,1977,Action,Sir Richard Attenborough,6.7,7.3,16882.0
144,Beetle Juice,73326666.0,15000000.0,1988,Comedy,Tim Burton,,7.3,61197.0
145,Batman Returns,266822354.0,80000000.0,1992,Action,Tim Burton,7.8,6.9,78673.0
146,Batman Forever,336529144.0,100000000.0,1995,Action,Joel Schumacher,4.3,5.4,76218.0
147,Batman - The Movie,0.0,1377800.0,2001,,,,,
148,Batman,411348924.0,35000000.0,1989,Action,Tim Burton,7.1,7.6,111464.0
149,Buffy the Vampire Slayer,14231669.0,7000000.0,1992,Horror,,3.2,5.3,16056.0
150,Bienvenue chez les Ch'tis,243470856.0,16000000.0,2008,Comedy,,,7.0,7129.0
151,Beyond the Valley of the Dolls,9000000.0,1000000.0,1970,Comedy,,6.8,5.7,4626.0
152,Broken Vessels,85343.0,600000.0,1999,Drama,,,6.4,399.0
153,The Boys from Brazil,19000000.0,12000000.0,1978,Thriller/Suspense,Franklin J. Schaffner,6.5,7.0,8741.0
154,The Business of Fancy Dancing,174682.0,200000.0,2002,Drama,,,7.0,355.0
155,Caddyshack,39846344.0,6000000.0,1980,Comedy,Harold Ramis,7.5,7.3,35436.0
156,Cape Fear,182291969.0,35000000.0,1991,Thriller/Suspense,Martin Scorsese,7.6,7.3,47196.0
157,Clear and Present Danger,207500000.0,62000000.0,1994,Action,Phillip Noyce,7.8,6.8,29612.0
158,Carrie,25878153.0,1800000.0,1976,Horror,Brian De Palma,9.0,7.4,38767.0
159,Casino Royale,41744718.0,12000000.0,1967,Comedy,John Huston,3.0,8.0,172936.0
160,Camping Sauvage,3479302.0,4600000.0,2004,Comedy,,,6.0,378.0
161,The Cotton Club,25928721.0,48000000.0,1984,Drama,Francis Ford Coppola,7.4,6.3,6940.0
162,Crop Circles: Quest for Truth,0.0,600000.0,2002,,,6.0,7.1,153.0
163,Close Encounters of the Third Kind,337700000.0,20000000.0,1977,Adventure,Steven Spielberg,9.5,7.8,59049.0
164,The Cable Guy,102825796.0,47000000.0,1996,Comedy,Ben Stiller,5.2,5.8,51109.0
165,Chocolate: Deep Dark Secrets,1549000.0,1000000.0,2005,Thriller/Suspense,,,4.6,527.0
166,Child's Play,44196684.0,9000000.0,1988,Horror,,7.0,6.3,16165.0
167,Child's Play 2,34166572.0,13000000.0,1990,Horror,,3.8,5.1,8666.0
168,Chain Reaction,60209334.0,55000000.0,1996,Action,Andrew Davis,1.3,5.2,15817.0
169,Charly,814666.0,950000.0,2002,Drama,,,5.8,60.0
170,Chariots of Fire,57159946.0,5500000.0,1981,Drama,Hugh Hudson,8.6,7.3,16138.0
171,A Christmas Story,19294144.0,3250000.0,1983,Comedy,,8.8,8.0,51757.0
172,Cat on a Hot Tin Roof,17570324.0,3000000.0,1958,Drama,Richard Brooks,10.0,8.0,14540.0
173,C.H.U.D.,4700000.0,1250000.0,1984,Horror,,,5.0,2806.0
174,"Charge of the Light Brigade, The",0.0,1200000.0,1936,Action,Michael Curtiz,,,
175,Crooklyn,13024170.0,14000000.0,1994,Comedy,Spike Lee,7.5,6.5,3137.0
176,Festen,1647780.0,1300000.0,1998,Comedy,Thomas Vinterberg,,8.1,26607.0
177,Cleopatra,62000000.0,36000000.0,1963,Drama,,4.0,6.8,7870.0
178,Cliffhanger,255000000.0,65000000.0,1993,Action,Renny Harlin,8.2,6.2,34447.0
179,The Californians,4134.0,500000.0,2005,Drama,,,5.1,226.0
180,The Client,117615211.0,45000000.0,1994,Drama,Joel Schumacher,8.0,6.5,19299.0
181,The Calling,32092.0,160000.0,2002,Drama,Michael C. Brown,,3.4,1113.0
182,Clueless,56598476.0,13700000.0,1995,Comedy,Amy Heckerling,8.3,6.7,39055.0
183,The Color Purple,93589701.0,15000000.0,1985,Drama,Steven Spielberg,8.8,7.7,26962.0
184,Clerks,3073428.0,27000.0,1994,Comedy,Kevin Smith,8.8,7.9,89991.0
185,Central do Brasil,17006158.0,2900000.0,1998,Drama,Walter Salles,,8.0,17343.0
186,Clash of the Titans,30000000.0,15000000.0,1981,Adventure,,6.5,5.9,45773.0
187,Clockwatchers,444354.0,2000000.0,1998,,,,5.9,3171.0
188,Commando,35073978.0,10000000.0,1985,Action,,7.1,4.5,49.0
189,The Color of Money,52293000.0,10000000.0,1986,Drama,Martin Scorsese,9.1,6.9,25824.0
190,Cinderella,85000000.0,2900000.0,1950,Drama,,9.2,5.1,373.0
191,Congo,152022333.0,50000000.0,1995,Adventure,Frank Marshall,2.1,4.6,17954.0
192,Conan the Barbarian,38264085.0,20000000.0,1982,Action,John Milius,7.6,6.8,38886.0
193,Conan the Destroyer,26400000.0,18000000.0,1984,Action,Richard Fleischer,2.9,5.4,20368.0
194,Class of 1984,6965361.0,3250000.0,1982,Drama,,,6.3,2945.0
195,The Clan of the Cave Bear,1953732.0,15000000.0,1986,Adventure,,1.3,4.9,2763.0
196,The Case of the Grinning Cat,7033.0,200000.0,2006,Documentary,,,,
197,Bacheha-Ye aseman,925402.0,180000.0,1999,Comedy,,,8.0,6657.0
198,Coming Home,32653000.0,3000000.0,1978,,Hal Ashby,8.1,7.3,4410.0
199,Nanjing! Nanjing!,20000000.0,12000000.0,2009,,,,7.6,1725.0
200,Cool Runnings,155056263.0,14000000.0,1993,Comedy,Jon Turteltaub,7.3,6.5,24533.0
201,Conquest of the Planet of the Apes,9700000.0,1700000.0,1972,,Jack Lee Thompson,4.4,5.8,6188.0
202,Cure,94596.0,10000.0,2001,,,,7.4,2724.0
203,Crocodile Dundee,328000000.0,5000000.0,1986,Comedy,,8.8,6.5,27277.0
204,Dayereh,673780.0,10000.0,2001,Drama,,,7.3,1851.0
205,Karakter,713413.0,4500000.0,1998,Drama,,,7.8,5531.0
206,Creepshow,20036244.0,8000000.0,1982,Horror,George A. Romero,6.7,6.5,12530.0
207,Creepshow 2,14000000.0,3500000.0,1987,Horror,,2.6,5.4,5910.0
208,The Crying Game,62546695.0,4000000.0,1992,Drama,Neil Jordan,10.0,7.3,21195.0
209,Crimson Tide,159387195.0,55000000.0,1995,Action,Tony Scott,8.6,7.2,33354.0
210,Caravans,1000000.0,14000000.0,1978,Adventure,,,5.8,173.0
211,Crying With Laughter,0.0,820000.0,2009,,,,,
212,Fengkuang de Shitou,3000000.0,500000.0,2006,Black Comedy,,,7.6,1209.0
213,Casablanca,10462500.0,950000.0,1942,Drama,Michael Curtiz,9.7,8.8,167939.0
214,Casino,110400000.0,52000000.0,1995,Drama,Martin Scorsese,8.1,8.1,108634.0
215,Casper,282300000.0,55000000.0,1995,Comedy,Brad Silberling,4.1,5.7,26121.0
216,Can't Stop the Music,2000000.0,20000000.0,1980,Musical,,,3.5,2146.0
217,Catch-22,24911670.0,18000000.0,1970,Comedy,Mike Nichols,8.7,7.1,9671.0
218,City Hall,20278055.0,40000000.0,1996,Drama,Harold Becker,5.5,6.1,9908.0
219,Cutthroat Island,10017322.0,92000000.0,1995,Adventure,Renny Harlin,4.5,5.3,10346.0
220,La femme de chambre du Titanic,244465.0,10000000.0,1998,Drama,,,6.8,822.0
221,Cat People,8000000.0,134000.0,1942,Drama,,9.1,5.9,6791.0
222,Courage Under Fire,100833145.0,46000000.0,1996,Drama,Edward Zwick,8.5,6.6,19682.0
223,C'era una volta il West,5321508.0,5000000.0,1969,Western,Sergio Leone,,8.8,74184.0
224,The Conversation,4420000.0,1600000.0,1974,Thriller/Suspense,Francis Ford Coppola,9.8,8.1,33005.0
225,Cavite,71644.0,7000.0,2006,Thriller/Suspense,,,6.0,487.0
226,Copycat,32051917.0,20000000.0,1995,Thriller/Suspense,Jon Amiel,7.5,6.5,17182.0
227,Dark Angel,4372561.0,7000000.0,1990,Action,,,5.3,3396.0
228,"Boot, Das",84970337.0,12000000.0,1982,Drama,Wolfgang Petersen,,4.3,2184.0
229,Desperado,25532388.0,7000000.0,1995,Action,Robert Rodriguez,6.1,7.0,51515.0
230,Dumb & Dumber,246400000.0,16000000.0,1994,Comedy,Bobby Farrelly,,7.2,88093.0
231,Diamonds Are Forever,116000000.0,7200000.0,1971,Action,Guy Hamilton,6.7,6.7,25354.0
232,The Dark Half,9579068.0,15000000.0,1993,Horror,George A. Romero,,5.7,5488.0
233,The Dark Hours,423.0,400000.0,2005,Horror,,,6.3,2804.0
234,Dante's Peak,178200000.0,115000000.0,1997,Drama,Roger Donaldson,2.8,5.6,23472.0
235,Daylight,158908290.0,80000000.0,1996,Action,Rob Cohen,2.2,5.4,20052.0
236,Dick Tracy,162738726.0,47000000.0,1990,Action,Warren Beatty,6.5,5.9,25364.0
237,Decoys,84733.0,5000000.0,2004,,,,4.4,2486.0
238,Dawn of the Dead,55000000.0,1500000.0,1979,Horror,,,7.4,73875.0
239,The Addams Family,191502246.0,30000000.0,1991,Comedy,Barry Sonnenfeld,5.9,6.6,28907.0
240,Death Becomes Her,149022650.0,55000000.0,1992,Comedy,Robert Zemeckis,5.3,6.0,27681.0
241,Def-Con 4,210904.0,1300000.0,1985,Action,,,3.8,639.0
242,Dead Poets' Society,239500000.0,16400000.0,1989,Drama,Peter Weir,8.6,7.8,89662.0
243,The Day the Earth Stood Still,3700000.0,1200000.0,2003,,,9.4,5.5,51517.0
244,Deep Throat,45000000.0,25000.0,1972,,,,5.2,3075.0
245,The Dead Zone,20766000.0,10000000.0,1983,Horror,David Cronenberg,,7.3,19485.0
246,Die Hard 2,239814025.0,70000000.0,1990,Action,Renny Harlin,,7.0,79636.0
247,Die Hard: With a Vengeance,364480746.0,90000000.0,1995,Action,John McTiernan,,7.4,87437.0
248,Dragonheart,104364680.0,57000000.0,1996,Adventure,Rob Cohen,5.0,6.2,26309.0
249,Die Hard,139109346.0,28000000.0,1988,Action,John McTiernan,9.4,7.3,237.0
250,Diner,12592907.0,5000000.0,1982,Comedy,Barry Levinson,9.6,7.1,7803.0
251,Dil Jo Bhi Kahey...,129319.0,1600000.0,2005,Drama,,,5.0,159.0
252,Don Juan DeMarco,22032635.0,25000000.0,1995,Drama,,7.3,6.6,20386.0
253,Tales from the Crypt: Demon Knight,21089146.0,12000000.0,1995,Horror,,,6.4,6430.0
254,Dead Man Walking,83088295.0,11000000.0,1995,Drama,Tim Robbins,9.4,7.6,32159.0
255,Dances with Wolves,424200000.0,19000000.0,1990,Western,Kevin Costner,7.6,8.0,71399.0
256,Dangerous Liaisons,34700000.0,14000000.0,1988,Drama,Stephen Frears,9.3,7.7,25761.0
257,Donovan's Reef,6600000.0,2686000.0,1963,,John Ford,6.0,6.6,2907.0
258,Due occhi diabolici,349618.0,9000000.0,1991,,,,5.9,2059.0
259,Double Impact,29090445.0,16000000.0,1991,Action,Sheldon Lettich,0.8,4.7,10426.0
260,The Doors,34167219.0,40000000.0,1991,Drama,Oliver Stone,5.7,7.0,29750.0
261,Day of the Dead,34004262.0,3500000.0,1985,Horror,George A. Romero,7.8,4.5,8395.0
262,Days of Thunder,157670733.0,60000000.0,1990,Action,Tony Scott,4.0,5.4,25395.0
263,Dracula: Pages from a Virgin's Diary,84788.0,1100000.0,2003,,,,7.0,1013.0
264,Dolphin,14000.0,170000.0,1979,Documentary,,,5.8,134.0
265,The Dress,16556.0,2650000.0,1998,Drama,,,7.6,1844.0
266,The Deer Hunter,50000000.0,15000000.0,1979,Drama,Michael Cimino,,8.2,88095.0
267,Dragonslayer,6000000.0,18000000.0,1981,Action,,8.2,6.8,4945.0
268,Driving Miss Daisy,106593296.0,7500000.0,1989,Drama,Bruce Beresford,7.8,7.5,22566.0
269,Dressed to Kill,31899000.0,6500000.0,1980,,Brian De Palma,8.4,7.1,9556.0
270,Do the Right Thing,26004026.0,6000000.0,1989,Comedy,Spike Lee,9.8,7.9,26877.0
271,Dune,27447471.0,45000000.0,1984,Action,David Lynch,6.2,6.5,38489.0
272,Dolphins and Whales Tribes of the Ocean 3D,17252287.0,6000000.0,2008,Documentary,,,,
273,Down & Out with the Dolls,58936.0,1200000.0,2003,,,,5.8,75.0
274,Dream With The Fishes,542909.0,1000000.0,1997,Drama,,5.8,6.6,1188.0
275,Doctor Zhivago,111721000.0,11000000.0,1965,Drama,David Lean,8.4,8.0,27671.0
276,The Evil Dead,29400000.0,375000.0,1983,Horror,Sam Raimi,,7.6,45030.0
277,Evil Dead II,5923044.0,3500000.0,1987,Horror,Sam Raimi,,7.9,44214.0
278,Army of Darkness,21502976.0,11000000.0,1993,Horror,Sam Raimi,,7.6,55671.0
279,Ed and his Dead Mother,673.0,1800000.0,1993,,,5.0,5.6,829.0
280,Edward Scissorhands,53976987.0,20000000.0,1990,Comedy,Tim Burton,9.1,8.0,102485.0
281,Ed Wood,5828466.0,18000000.0,1994,Comedy,Tim Burton,9.1,8.1,74171.0
282,The Egyptian,15000000.0,5000000.0,1954,,Michael Curtiz,,6.2,1097.0
283,Everyone Says I Love You,34600000.0,20000000.0,1996,Musical,Woody Allen,8.0,6.8,16481.0
284,The Elephant Man,26010864.0,5000000.0,1980,,David Lynch,9.1,8.4,58194.0
285,Emma,37831658.0,5900000.0,1996,Romantic Comedy,,,6.8,13798.0
286,Star Wars Ep. V: The Empire Strikes Back,534171960.0,23000000.0,1980,Adventure,,,,
287,Escape from New York,25244700.0,6000000.0,1981,Action,John Carpenter,8.2,7.1,34497.0
288,Escape from L.A.,25426861.0,50000000.0,1996,Action,John Carpenter,5.6,5.3,23262.0
289,Escape from the Planet of the Apes,12300000.0,2500000.0,1971,,,7.8,6.1,7686.0
290,Eraser,234400000.0,100000000.0,1996,Action,Chuck Russell,3.4,5.9,37287.0
291,Eraserhead,7000000.0,100000.0,1977,,David Lynch,9.0,7.4,26595.0
292,Everything You Always Wanted to Know,18016290.0,2000000.0,1972,Comedy,Woody Allen,,,
293,ET: The Extra-Terrestrial,792910554.0,10500000.0,1982,Drama,Steven Spielberg,,7.9,105028.0
294,Excessive Force,1152117.0,13000000.0,1993,,,,4.7,537.0
295,Exorcist II: The Heretic,25011000.0,14000000.0,1977,Horror,John Boorman,,3.5,7849.0
296,Exotica,5046118.0,1500000.0,1994,Drama,Atom Egoyan,9.6,7.1,8402.0
297,Force 10 from Navarone,7100000.0,5000000.0,1978,Action,Guy Hamilton,6.4,6.0,5917.0
298,A Farewell To Arms,11000000.0,5000000.0,1957,,John Huston,,6.6,1655.0
299,Fatal Attraction,320100000.0,14000000.0,1987,Thriller/Suspense,Adrian Lyne,8.1,6.8,22328.0
300,Family Plot,13200000.0,3000000.0,1976,,Alfred Hitchcock,9.5,6.8,7290.0
